loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9207041263580322,0.5264045596122742,0.0,0.008130081300813009,1,,,,,
2.7359468936920166,0.4582001566886902,4e-05,0.016260162601626018,2,,,,,
2.8273377418518066,0.4470709562301636,8e-05,0.024390243902439025,3,,,,,
2.926748752593994,0.3956504464149475,0.00012,0.032520325203252036,4,,,,,
2.617227554321289,0.43323981761932373,0.00016,0.04065040650406504,5,,,,,
2.450664520263672,0.4130748510360718,0.0002,0.04878048780487805,6,,,,,
2.3271172046661377,0.5254834890365601,0.0001982608695652174,0.056910569105691054,7,,,,,
2.3391048908233643,0.6922164559364319,0.0001965217391304348,0.06504065040650407,8,,,,,
2.300290107727051,0.6272908449172974,0.00019478260869565218,0.07317073170731707,9,,,,,
2.5310218334198,1.4183827638626099,0.00019304347826086958,0.08130081300813008,10,,,,,
2.3063759803771973,1.2559840679168701,0.00019130434782608697,0.08943089430894309,11,,,,,
2.150763988494873,1.1943092346191406,0.00018956521739130436,0.0975609756097561,12,,,,,
2.0313990116119385,0.912273108959198,0.00018782608695652175,0.10569105691056911,13,,,,,
1.884639859199524,0.5531812906265259,0.00018608695652173914,0.11382113821138211,14,,,,,
1.9744665622711182,1.1251887083053589,0.00018434782608695653,0.12195121951219512,15,,,,,
1.8435933589935303,0.7213462591171265,0.00018260869565217392,0.13008130081300814,16,,,,,
1.9864938259124756,0.6320132613182068,0.00018086956521739132,0.13821138211382114,17,,,,,
1.79745614528656,0.7321023941040039,0.0001791304347826087,0.14634146341463414,18,,,,,
1.9768319129943848,0.6133553981781006,0.0001773913043478261,0.15447154471544716,19,,,,,
1.7369604110717773,0.7042514681816101,0.0001756521739130435,0.16260162601626016,20,,,,,
1.9402577877044678,0.6962018013000488,0.00017391304347826088,0.17073170731707318,21,,,,,
1.8679511547088623,0.7166256904602051,0.00017217391304347827,0.17886178861788618,22,,,,,
1.8648837804794312,0.687286913394928,0.00017043478260869566,0.18699186991869918,23,,,,,
1.8872253894805908,0.6554010510444641,0.00016869565217391306,0.1951219512195122,24,,,,,
1.9053685665130615,0.562851071357727,0.00016695652173913042,0.2032520325203252,25,,,,,
1.6793980598449707,0.8761476278305054,0.00016521739130434784,0.21138211382113822,26,,,,,
1.9122157096862793,0.6588926911354065,0.00016347826086956523,0.21951219512195122,27,,,,,
1.7907981872558594,0.6779929995536804,0.00016173913043478262,0.22764227642276422,28,,,,,
1.7161108255386353,0.6013756394386292,0.00016,0.23577235772357724,29,,,,,
1.5955463647842407,0.629598081111908,0.0001582608695652174,0.24390243902439024,30,,,,,
1.5845558643341064,0.723002016544342,0.0001565217391304348,0.25203252032520324,31,,,,,
1.8161125183105469,0.8187281489372253,0.0001547826086956522,0.2601626016260163,32,,,,,
1.772944688796997,0.7791240811347961,0.00015304347826086958,0.2682926829268293,33,,,,,
1.5827746391296387,0.5902853012084961,0.00015130434782608694,0.2764227642276423,34,,,,,
1.6799142360687256,0.721976101398468,0.00014956521739130436,0.2845528455284553,35,,,,,
1.725017786026001,0.6464042663574219,0.00014782608695652173,0.2926829268292683,36,,,,,
1.6674530506134033,0.6676742434501648,0.00014608695652173914,0.3008130081300813,37,,,,,
1.7971036434173584,0.6086381673812866,0.00014434782608695654,0.3089430894308943,38,,,,,
1.796020269393921,0.6855945587158203,0.00014260869565217393,0.3170731707317073,39,,,,,
1.5800713300704956,0.7506008148193359,0.00014086956521739132,0.3252032520325203,40,,,,,
1.7212908267974854,0.5937736630439758,0.0001391304347826087,0.3333333333333333,41,,,,,
1.8735935688018799,0.644048810005188,0.0001373913043478261,0.34146341463414637,42,,,,,
1.7113579511642456,0.683262050151825,0.00013565217391304347,0.34959349593495936,43,,,,,
1.5853794813156128,0.767393171787262,0.00013391304347826088,0.35772357723577236,44,,,,,
1.5897390842437744,0.7320384979248047,0.00013217391304347825,0.36585365853658536,45,,,,,
1.8101139068603516,0.6901793479919434,0.00013043478260869567,0.37398373983739835,46,,,,,
1.6385694742202759,0.7996354103088379,0.00012869565217391303,0.3821138211382114,47,,,,,
1.6498465538024902,0.8767780065536499,0.00012695652173913045,0.3902439024390244,48,,,,,
1.510096549987793,0.7963095307350159,0.00012521739130434784,0.3983739837398374,49,,,,,
1.73505699634552,0.8161294460296631,0.00012347826086956523,0.4065040650406504,50,,,,,
